arrondissement,market_eur_m2
1,12380.952380952382
2,12264.70588235294
3,12045.204795204794
4,12831.302631578947
5,11901.997950819672
6,15279.91202346041
7,16815.942622950817
8,13034.806910569107
9,11520.0
10,9589.401818181817
11,9921.739130434782
12,9392.42636746143
13,9016.393442622952
14,9696.31093544137
15,9736.842105263158
16,11264.991452991453
17,10466.666666666666
18,9051.5873015873
19,8176.274944567627
20,8593.75
